title,authors,average_rating,num_pages,ratings_count,isbn13
The Life and Times of Scrooge McDuck,Don Rosa,4.67,266,2467,9780911903966
The Life and Times of Scrooge McDuck Companion,Don Rosa,4.48,208,959,9781888472400
The Last Christmas of Ebenezer Scrooge,Marvin Kaye,4.13,168,14,9781592241330
Uncle Scrooge #359,Don Rosa/Carl Barks/Lars Jensen/Pat McGreal/Carol McGreal/Frank Jonker/Romano Scarpa/Mau Heymans/José Massaroli,3.88,64,8,9781888472424
A Christmas Story,Jean Shepherd,4.08,144,3187,9780767916226
My First Story of Christmas,Tim Dowley/Roger Langton,4.07,24,10,9780802417589
The Christmas Story,Jane Werner Watson/Eloise Wilkin,4.43,24,1304,9780307989130
A Christmas Carol,Charles Dickens/P.J. Lynch,4.05,160,4359,9780763631208
A Christmas Carol,Charles Dickens,4.05,112,6671,9781580495790
The Annotated Christmas Carol,Charles Dickens/Michael Patrick Hearn/John Leech,4.05,266,276,9780393051582
Charles Dickens' A Christmas Carol,Jane Parker Resnick/Christian Birmingham,4.1,56,58,9780762408481
Little Dorrit,Charles Dickens/Hablot Knight Browne/David Gates,3.99,1347,291,9780375759147
A Christmas Carol and Other Christmas Writings,Charles Dickens/Michael Slater,4.14,288,30393,9780140439052
The Life of Our Lord: Written for His Children During the Years 1846 to 1849,Charles Dickens,4.01,128,1729,9780684865379
Hard Times,Charles Dickens,3.52,353,41041,9780321107213
The Innocent Man: Murder and Injustice in a Small Town,John Grisham,3.82,360,52005,9780385517232
The Last Juror,John Grisham,3.87,278,72294,9780385339681
The Testament,John Grisham/Jorma-Veikko Sappinen,3.86,535,89014,9780440234746
The Rainmaker,John Grisham,3.94,419,151818,9780385339605
The Partner,John Grisham,3.92,416,97474,9780385339100
The Street Lawyer,John Grisham,3.83,384,89947,9780385339094
The Summons,John Grisham,3.69,384,58901,9780385339599
The Brethren,John Grisham,3.73,384,76085,9780385339674
The King of Torts,John Grisham,3.68,276,68098,9780385339650
Skipping Christmas,John Grisham,3.49,198,46334,9780099481683
The Firm,Robin Waterfield/John Grisham,4.01,76,540910,9780582418271
The Client,John Grisham,4.0,483,367399,9780385339087
A Painted House,John Grisham,3.7,384,67857,9780385337939
The Summons / The Brethren,John Grisham/Michael Beck/Frank  Muller,3.99,0,241,9780739342770
Dragonfly in Amber (Outlander  #2),Diana Gabaldon,4.32,743,222140,9780385335973
Forever Amber,Kathleen Winsor,3.99,972,14409,9780141009827
Amber Brown Is Green With Envy,Paula Danziger/Tony Ross,3.95,160,834,9780439071710
Amber Brown Is Not a Crayon,Paula Danziger/Tony Ross,3.84,96,4787,9780142406199
Amber and Ashes (Dragonlance: The Dark Disciple  #1),Margaret Weis,3.87,336,2637,9780786937424
The Waste Lands (The Dark Tower  #3),Stephen King/Ned Dameron,4.24,509,76,9780747411871
The Dragon's Eye (Dragonology Chronicles  #1),Dugald A. Steer/Douglas Carrel,3.82,221,2221,9780763628109
The Dragon's Eye (Erec Rex  #1),Kaza Kingsley/Melvyn Grant,4.0,341,59,9780978655563
Dragon's Eye (Stonefort  #1),James A. Hetley,3.43,368,133,9780441013722
Dragon's Eye,Christopher Stasheff/William R. Forstchen/Nick DiChario/S.N. Lewitt/Bill Fawcett/Mike Resnick/Mickey Zucker Reichert/S.M. Stirling/Diane Duane/Jody Lynn Nye/Roland J. Green/Teresa Patterson/Judith R. Conly,3.51,279,41,9780671876098
"Stand Back  Said the Elephant  ""I'm Going to Sneeze!""",Patricia Thomas/Wallace Tripp,4.39,32,1004,9780688093389
Here I Stand: A Life of Martin Luther,Roland H. Bainton,4.08,336,2841,9780452011465
The Stand: Das letzte Gefecht,Stephen King/Joachim Körber,4.34,1227,256,9783404134113
'Salem's Lot,Stephen King/Jerry N. Uelsmann,4.25,594,84123,9780385516488
'Salem's Lot,Stephen King/Ron McLarty,4.02,17,227,9780743536967
'Salem's Lot,Stephen King,4.02,405,1039,9780965772419
Carrie / 'Salem's Lot / The Shining,Stephen King,4.54,1096,13137,9780517219027
Orientalism,Edward W. Said,4.08,396,873,9780141187426
Interpreter of Maladies,Jhumpa Lahiri,4.15,198,131876,9780618101368
The Faiths of the Founding Fathers,David L. Holmes,3.89,225,461,9780195300925
Girls in Pants: The Third Summer of the Sisterhood (Sisterhood  #3),Ann Brashares,3.83,338,61435,9780553375930
Forever in Blue: The Fourth Summer of the Sisterhood (Sisterhood  #4),Ann Brashares,3.81,384,62199,9780385729369
Junie B.  First Grader: Cheater Pants (Junie B. Jones  #21),Barbara Park/Denise Brunkus,4.04,86,111,9780375823022
Nineteen Eighty-Four,George Orwell/Thomas Pynchon,4.18,339,9910,9780452284234
Animal Farm / 1984,George Orwell/Christopher Hitchens,4.28,400,146659,9780151010264
1984,George Orwell/Erich Fromm,4.18,268,1322,9780451516756
Nineteen Eighty-Four,George Orwell,4.18,387,215,9781421808321
Brave New World / Brave New World Revisited,Aldous Huxley/Christopher Hitchens,4.16,340,129179,9780060776091
Brave New World and Brave New World Revisited,Aldous Huxley/Christopher Hitchens,4.16,340,421,9780060535261
Brave New World Revisited,Aldous Huxley,3.95,123,12989,9780060898526
Andrew Carnegie,David Nasaw,3.99,896,2580,9781594201042
The Cairo Trilogy: Palace Walk / Palace of Desire / Sugar Street (The Cairo Trilogy #1-3),Naguib Mahfouz,4.46,1313,3347,9780375413315
Children of the Alley,Naguib Mahfouz/Peter Theroux,4.1,464,1192,9780385264730
Akhenaten: Dweller in Truth,Naguib Mahfouz/Tagreid Abu-Hassabo,3.81,168,1282,9780385499095
Adrift on the Nile,Naguib Mahfouz/Frances Liardet,3.82,167,411,9780385423335
Midaq Alley,Naguib Mahfouz/Trevor Le Gassick,3.85,286,4815,9780385264761
The Harafish,Naguib Mahfouz/Catherine Cobham/Naguib Mahfouz,4.36,416,590,9780385423359
The Day the Leader Was Killed,Naguib Mahfouz/Surgana/Naguib Mahfouz,3.63,112,809,9780385499224
Anne Frank Beyond the Diary: A Photographic Remembrance,Ruud van der Rol/Rian Verhoeven/Anna Quindlen/Anne Frank/Tony   Langham/Plym Peters,4.27,113,24181,9780140369267
Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family,Miep Gies/Alison Leslie Gold,4.29,252,55487,9780671662349
The Diary of Anne Frank,Frances Goodrich/Albert Hackett/Wendy Kesselman,4.06,70,1320,9780822217183
Anne Frank: Life in Hiding,Johanna Hurwitz/Vera Rosenberry,3.99,64,152,9780380732548
Cliffs Notes on Hansberry's A Raisin in the Sun,Rosetta James,3.9,80,10,9780822011088
Dear John,Nicholas Sparks,4.03,276,502726,9780446528054
All the King's Men,Robert Penn Warren,4.09,439,47324,9780156004800
Cliffs notes on Warren's All the King's Men,L. David Allen,3.45,80,3,9780822001461
All the King's Men: Three Stage Versions,Robert Penn Warren/James A. Perkins/James A. Grimshaw,4.0,264,3,9780820320977
Men's Health: Book of Muscle - The World's Most Complete Guide to Building Your Body,Ian King/Lou Schuler/Frederick Deluvier,3.98,364,256,9781579547691
Surely You're Joking  Mr. Feynman!: Adventures of a Curious Character,Richard P. Feynman,4.28,391,106526,9780393316049
The Feynman Lectures on Physics  3 Vols,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,4.6,3,78,9780201500646
What Do You Care What Other People Think?,Richard P. Feynman,4.27,256,15700,9780393320923
Perfectly Reasonable Deviations from the Beaten Track: Letters of Richard P. Feynman,Richard P. Feynman/Michelle Feynman,4.25,512,1874,9780738206363
QED: The Strange Theory of Light and Matter,Richard P. Feynman,4.24,158,13463,9780691024172
Kiffe Kiffe Demain (French Edition),Faïza Guène,3.4,182,19,9780785990239
iWoz,Steve Wozniak/Gina Smith,3.87,313,3536,9780393061437
Cradle to Cradle: Remaking the Way We Make Things,William McDonough/Michael Braungart,4.11,193,9017,9780865475878
Cradle and All,James Patterson,3.86,384,27869,9780446609401
The Creation of the American Republic  1776-1787,Gordon S. Wood,4.12,675,1792,9780807847237
Power  Faith  and Fantasy: America in the Middle East 1776 to the Present,Michael B. Oren,3.98,832,1510,9780393058260
Problems of the Self: Philosophical Papers 1956 1972,Bernard Williams,3.97,276,57,9780521290609
Moral Luck: Philosophical Papers 1973-1980,Bernard Williams,4.09,188,114,9780521286916
Ethics and the Limits of Philosophy,Bernard Williams,4.06,230,556,9780674268586
On Rhetoric and Language: Four Key Dialogues,Jean Nienkamp,4.2,232,10,9781880393338
The Norton Anthology of Modern and Contemporary Poetry,Jahan Ramazani/Richard Ellmann/Robert O'Clair,4.23,1136,286,9780393324297
The Elephant War,Gillian Avery,3.67,256,19,9781903252048
The Wind in the Willows,Kenneth Grahame/Gillian Avery,3.99,197,147748,9780143039099
The Everyman Anthology of Poetry for Children,Gillian Avery/Everyman's Library/Thomas Benwick,4.14,379,22,9780679436348
Holiday Romance and Other Writings for Children,Charles Dickens,3.32,368,8,9780460876018
Ideas Have Consequences,Richard M. Weaver,4.16,198,970,9780226876801
The Ethics of Rhetoric,Richard M. Weaver,4.14,240,65,9780961180027
Manliness,Harvey Mansfield,3.39,304,177,9780300106640
Selected Stories of Anton Chekhov,Anton Chekhov/Richard Pevear/Larissa Volokhonsky,4.35,467,27027,9780553381009
Mother Maria Skobtsova: Essential Writings,Maria Skobtsova/Richard Pevear,4.31,192,62,9781570754364
What is Art?,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,3.72,230,127,9780140446425
The Complete Short Novels,Anton Chekhov/Richard Pevear/Larissa Volokhonsky,4.47,548,10580,9781400032921
The Double and The Gambler,Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky,4.16,344,2486,9780375719011
The Adolescent,Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky,3.94,647,3568,9780375719004
If I Die in a Combat Zone,Tim O'Brien,3.95,208,11,9780007162994
If I Die In A Combat Zone,Tim O'Brien,3.95,208,53,9780586087992
Rainbow Six (John Clark  #2; Jack Ryan Universe  #10),Tom Clancy/David Dukes,4.09,912,40815,9780425170342
Child of War  Woman of Peace,Le Ly Hayslip/James Hayslip/Jenny Wurts,3.8,388,186,9780385471473
When Heaven and Earth Changed Places: A Vietnamese Woman's Journey from War to Peace,Le Ly Hayslip/Jay Wurts,4.12,400,2593,9780452271685
Philip Vera Cruz: A Personal History of Filipino Immigrants and the Farmworkers Movement,Craig Scharlin/Lilia V. Villanueva,4.22,208,86,9780295979847
Coming of Age in Mississippi: The Classic Autobiography of a Young Black Girl in the Rural South,Anne Moody,4.13,424,7072,9780385337816
I'm Too Young To Be Seventy,Judith Viorst/Laura Gibson,3.93,64,237,9780743267748
Seventy-Seven Clocks (Bryant & May #3),Christopher Fowler,3.89,496,2095,9780553587159
The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,4.08,528,18793,9780142003343
The Language Instinct: How the Mind Creates Language,Steven Pinker,4.03,448,15441,9780060958336
Learnability and Cognition: The Acquisition of Argument Structure,Steven Pinker/Jacques A. Mehler,3.75,432,50,9780262660730
Fight Club,Chuck Palahniuk,4.19,218,388782,9780393327342
BSD Hacks,Lavigne,3.8,450,42,9780596006792
The Design and Implementation of the 4.3BSD UNIX Operating System,Samuel J. Leffler/Marshall Kirk McKusick/Michael J. Karels,4.26,471,27,9780201061963
Choke,Stuart Woods,3.84,352,2288,9780061094224
Choke Point: A Brinker Mystery (Brinker P.I.),James C. Mitchell,3.22,272,3,9780312315320
The Aleph and Other Stories,Jorge Luis Borges/Andrew Hurley,4.38,210,20259,9780142437889
El Aleph,Jorge Luis Borges,4.38,253,146,9789500425995
Vanity Fair,William Makepeace Thackeray/John Carey,3.79,867,102877,9780141439839
Vanity Fair,William Makepeace Thackeray/Nicholas Dames,3.79,696,553,9781593080716
Vanity Fair,William Makepeace Thackeray,3.79,672,296,9780140620856
V for Vendetta,Alan Moore/David   Lloyd,4.25,296,234954,9781401207922
V.,Thomas Pynchon/Carlos Martín Ramírez,3.96,640,15174,9782020418775
Girl in the Shadows (Shadows  #2),V.C. Andrews,3.81,400,5,9781416500520
V for Vendetta,Steve Moore/Lilly Wachowski/Lana Wachowski/Alan Moore,4.15,358,2980,9781416516996
Heaven (Casteel  #1),V.C. Andrews,4.03,464,13,9780671010058
A Gravity's Rainbow Companion: Sources and Contexts for Pynchon's Novel,Steven Weisenburger,4.01,424,152,9780820328072
Casino Royale,Ian Fleming,3.73,181,371,9780141187587
Casino Royale,Anthony Hern/Ian Fleming/Henry Gammidge/John McLusky,3.7,96,110,9781840238433
Bel Canto,Ann Patchett,3.93,352,218195,9780060838720
Guerilla Film Makers Movie Blueprint,Chris          Jones/Jonathan Newman/Cara Williams,4.2,608,50,9780826414533
Mini-Manual of the Urban Guerrilla,Carlos Marighella,3.31,66,127,9781894925020
The Career Programmer: Guerilla Tactics for an Imperfect World (Expert's Voice),Christopher   Duncan,3.13,264,37,9781590596241
A Bend in the River,V.S. Naipaul,3.77,326,13147,9780330487146
The Middle Passage,V.S. Naipaul,3.61,256,461,9780375708343
Magic Seeds,V.S. Naipaul,3.13,280,715,9780375707278
Half a Life,V.S. Naipaul,3.25,224,3078,9780375707285
North of South: An African Journey,Shiva Naipaul,3.89,352,279,9780140188264
V.S. Naipaul,Bruce Alvin King,2.0,240,0,9781403904560
Regeneration Through Violence: The Mythology of the American Frontier  1600–1860,Richard Slotkin,4.3,670,163,9780806132297
Regeneration (Species Imperative  #3),Julie E. Czerneda,4.13,543,54,9780756403454
The Regeneration Trilogy (Regeneration  #1-3),Pat Barker,4.38,592,1588,9780670869299
The Sparrow (The Sparrow  #1),Mary Doria Russell,4.16,506,664,9780552997775
The Age of Bronze (Pirates of the Caribbean: Jack Sparrow  #5),Rob Kidd/Walt Disney Company,4.05,144,548,9781423101680
The Sword of Cortés (Pirates of the Caribbean: Jack Sparrow  #4),Rob Kidd/Jean-Paul Orpinas/Walt Disney Company,3.98,122,644,9781423100614
The Pirate Chase (Pirates of the Caribbean: Jack Sparrow  #3),Rob Kidd/Walt Disney Company,3.89,119,730,9781423100201
The Siren Song (Pirates of the Caribbean: Jack Sparrow  #2),Rob Kidd/Jean-Paul Orpinas,3.86,123,859,9781423100195
The Coming Storm (Pirates of the Caribbean: Jack Sparrow  #1),Rob Kidd/Jean-Paul Orpinas,3.83,135,1414,9781423100188
The Woman in White,Wilkie Collins/Matthew Sweet,4.0,672,108060,9780141439617
The Woman in White,Wilkie Collins,4.0,504,136,9780486440965
The Woman in White,Wilkie Collins/Maria K. Bachman/Don Richard Cox,4.0,696,122,9781551116440
The Woman in White,Wilkie Collins/Camille Cauti,4.0,635,624,9781593082802
The 9/11 Commission Report: Final Report of the National Commission on Terrorist Attacks Upon the United States,National Commission on Terrorist Attacks Upon The United States,3.6,624,146,9780393060416
The Hobbit  or There and Back Again,J.R.R. Tolkien,4.27,366,2530894,9780618260300
The Annotated Hobbit,J.R.R. Tolkien/Douglas A. Anderson,4.27,411,121,9780007137275
Poems From The Hobbit,J.R.R. Tolkien,4.3,57,169,9780618009343
The Hobbit: Or There and Back Again,J.R.R. Tolkien,4.27,481,276,9781594130052
The Hobbit,J.R.R. Tolkien,4.27,277,3213,9780261103283
Ruthless Rhymes for Heartless Homes and More Ruthless Rhymes,Harry Graham/Frank J. Moore/D. Streamer,3.86,64,44,9780486402185
The Essential Neruda: Selected Poems,Pablo Neruda/Mark Eisner/Lawrence Ferlinghetti/Robert Hass/Stephen Mitchell/Alastair Reid/Forrest Gander/Jack Hirschman/Stephen Kessler/John Felstiner,4.46,200,5149,9780872864283
Twenty Love Poems and a Song of Despair,Pablo Neruda/W.S. Merwin/Cristina García,4.3,70,37942,9780143039969
Veinte poemas de amor y una canción desesperada; Cien sonetos de amor,Pablo Neruda,4.3,160,1120,9781400001446
Love,Pablo Neruda,4.46,43,1333,9780786881482
Anil's Ghost,Michael Ondaatje,3.57,311,13022,9780375724374
Waiting for My Cats to Die: A Memoir,Stacy Horn,3.67,320,177,9780312287443
Narcissus and Goldmund,Hermann Hesse/Leila Vennewitz,4.2,288,175,9780720608724
Edward Lear's Book of Nonsense: With Lear's Original Illustrations,Edward Lear/Simcha Shtull,3.65,46,71,9781888297010
A Sparrow Falls (Courtney #3),Wilbur Smith,4.19,640,5019,9780312940683
Providence of a Sparrow: Lessons from a Life Gone to the Birds,Chris Chester,4.33,304,228,9781400033850
Sparrow Hawk Red,Ben Mikaelsen,3.79,185,1,9780786811052
The Fall of a Sparrow,Robert Hellenga,3.69,464,824,9780684850276
The Bluebird and the Sparrow (Women of the West  #10),Janette Oke,3.83,251,78,9780764202537
Journey of the Sparrows,Fran Leeper Buss/Daisy Cubias,3.69,160,205,9780142302095
Aleutian Sparrow,Karen Hesse/Evon Zerbetz/Kim McGillivray,3.78,160,710,9781416903277
An Episode of Sparrows,Rumer Godden,4.21,247,900,9781590171240
Li Po and Tu Fu: Poems,Li Bai/Du Fu/Arthur Cooper/Shui Chien-Tung,4.14,256,389,9780140442724
混血王子的背叛 (哈利波特  #6),J.K. Rowling/J.K.羅琳/皇冠編譯組/張定綺/彭倩文/趙丕慧/林靜華,4.57,735,75,9789573321743
火盃的考驗 (哈利波特  #4),J.K. Rowling/J.K.羅琳/彭倩文,4.56,768,91,9789573318316
Five T'ang Poets,Wang Wei/Li Bai/Li Ho/Li Shang-yin/David        Young,4.3,184,169,9780932440556
The End of Obscenity: The Trials of Lady Chatterley  Tropic of Cancer  and Fanny Hill,Charles Rembar,3.88,528,11,9780060970611
Juniper,Monica Furlong,4.16,198,112,9780394832203
The Long Road Back: A Survivor's Guide to Anorexia,Judy Tam Sargent/Sonia Nordenson,3.2,194,30,9781880823194
The Road Back,Erich Maria Remarque,4.32,352,3146,9781931541749
Robinson Crusoe,Daniel Defoe/L.J. Swingle,3.67,312,350,9781593080112
Achilles in Vietnam: Combat Trauma and the Undoing of Character,Jonathan Shay,4.25,272,1130,9780684813219
The Work of Mourning,Jacques Derrida/Pascale-Anne Brault/Michael Naas,4.2,272,167,9780226142814
Transform Your Life: A step-by-step programme for change,Diana Cooper,4.0,176,6,9780749919443
A Short History of Byzantium,John Julius Norwich,4.09,496,1772,9780679772699
The Middle Sea: A History of the Mediterranean,John Julius Norwich,3.85,588,662,9780701176082
A History of Venice,John Julius Norwich,4.2,673,1422,9780679721970
The Normans in Sicily: The Normans in the South 1016-1130 and the Kingdom in the Sun 1130-1194,John Julius Norwich,4.34,816,268,9780140152128
Siddhartha,Hermann Hesse/Susan Bernofsky/Tom Robbins,4.02,129,888,9780679643364
Siddhartha,Hermann Hesse/Joachim Neugroschel/Ralph Freedman,4.02,132,1104,9780142437186
Siddhartha,Hermann Hesse,4.02,160,590,9782253008484
The Moonstone,Wilkie Collins/Carolyn G. Heilbrun,3.91,528,59709,9780375757853
The Moonstone,Wilkie Collins,3.91,464,349,9780140620139
The Moonstone,Wilkie Collins/P.D. James,3.91,576,74,9780192100283
Ride of the Second Horseman: The Birth and Death of War,Robert L. O'Connell,4.29,320,13,9780195119206
Beloved,Toni Morrison,3.83,324,282045,9781400033416
Life of the Beloved: Spiritual Living in a Secular World,Henri J.M. Nouwen,4.28,160,7551,9780824519865
Come Away My Beloved,Frances J. Roberts,4.58,192,8,9781593109158
Israel  My Beloved,Kay Arthur,4.16,448,681,9780736903707
Beloved Bride: The Letters of Stonewall Jackson to His Wife,Bill Potter/Stephen Lang,4.1,156,137,9781929241637
The Search for the Beloved: Journeys in Mythology and Sacred Psychology (Inner Workbook),Jean Houston,3.95,272,18,9780874778717
Reservation Blues,Sherman Alexie,3.98,306,11163,9780802141903
The Border Trilogy: All the Pretty Horses  The Crossing  Cities of the Plain,Cormac McCarthy,4.44,1040,4589,9780375407932
Music & Silence,Rose Tremain,3.95,485,2923,9780743418263
The Periodic Table,Primo Levi,4.21,194,101,9780140296617
Survival in Auschwitz,Primo Levi/Stuart J. Woolf/Philip Roth,4.32,187,29099,9780684826806
The Reawakening,Primo Levi/Stuart J. Woolf,4.29,230,1269,9780684826356
The Drowned and the Saved,Primo Levi,4.4,170,3542,9780349100470
The Monkey's Wrench,Primo Levi/William Weaver/Ruth Feldman/Ruth Tenzer Feldman,3.92,192,601,9780140188929
Primo Levi: A Life,Ian Thomson,4.11,640,104,9780312423674
Wuthering Heights,Emily Brontë,3.85,279,2155,9780140620122
Disgrace,J.M. Coetzee,3.84,220,61545,9780143036371
Waiting for the Barbarians,J.M. Coetzee,3.94,152,18097,9780140283358
The Lives of Animals,J.M. Coetzee/Amy Gutmann/Peter Singer/Wendy Doniger/Barbara Smuts/Marjorie Garber,3.69,136,1930,9780691070896
Boyhood: Scenes from Provincial Life,J.M. Coetzee,3.79,166,3162,9780140265668
Youth,J.M. Coetzee,3.79,176,4931,9780142002001
Age of Iron,J.M. Coetzee,3.84,198,2976,9780140275650
The Wife (Kristin Lavransdatter  #2),Sigrid Undset/Tiina Nunnally/Sherrill Harbison,4.15,402,2116,9780141181288
Kristin Lavransdatter (Kristin Lavransdatter  #1-3),Sigrid Undset/Tiina Nunnally/Brad Leithauser,4.28,1144,7210,9780143039167
The Axe (The Master of Hestviken  #1),Sigrid Undset/Arthur G. Chater,4.21,304,496,9780679752738
The Cross (Kristin Lavransdatter  #3),Sigrid Undset/Tiina Nunnally/Sherrill Harbison,4.29,366,1803,9780141182353
The Wreath (Kristin Lavransdatter  #1),Sigrid Undset/Tiina Nunnally,4.02,305,3831,9780141180410
The Mistress of Husaby (Kristin Lavransdatter  #2),Sigrid Undset,4.15,384,167,9780394752938
Jenny,Sigrid Undset/Tiina Nunnally,3.79,330,549,9781586420505
The Unknown Sigrid Undset: Jenny and Other Works,Sigrid Undset/Tim Page/Tiina Nunnally/Naomi Walford,4.19,406,48,9781586420215
Gunnar's Daughter,Sigrid Undset/Sherrill Harbison/Arthur G. Chater,4.18,161,848,9780141180205
The Snake Pit (The Master of Hestviken  #2),Sigrid Undset/Arthur G. Chater,4.23,240,349,9780679755548
The Son Avenger (The Master of Hestviken  #4),Sigrid Undset,4.4,288,275,9780679755524
An Imaginary Life,David Malouf,3.88,156,1552,9780099273844
The Great World,David Malouf,3.88,336,539,9780099273868
A Very Long Engagement,Sébastien Japrisot,3.91,320,79,9780099474548
Birdsong,Sebastian Faulks,4.09,483,57513,9780679776819
The Collected Poems of Wilfred Owen,Wilfred Owen/Cecil Day-Lewis,4.34,192,3151,9780811201322
Murder in Foggy Bottom (Capital Crimes  #17),Margaret Truman,3.71,368,688,9780449001967
The Road,Cormac McCarthy,3.97,241,606433,9780307265432
The Road to Serfdom,Friedrich A. Hayek,4.18,272,258,9780415253895
Road of the Patriarch (Forgotten Realms: The Sellswords  #3),R.A. Salvatore,4.19,346,6274,9780786940752
Road Trip USA: Cross-Country Adventures on America's Two-Lane Highways,Jamie Jensen,3.96,964,448,9781566917667
Howl's Moving Castle (Howl's Moving Castle  #1),Diana Wynne Jones,4.29,329,161582,9780064410342
Howl and Other Poems,Allen Ginsberg/William Carlos Williams,4.13,56,85143,9780872863101
When Rabbit Howls,Truddi Chase/Robert A. Phillips,4.04,400,262,9780425183311
The Art of Howl's Moving Castle,Hayao Miyazaki/Yuji Oniki/Joe Hisaishi,4.51,256,2874,9781421500492
Howl: Original Draft Facsimile  Transcript & Variant Versions  Fully Annotated by Author  with Contemporaneous Correspondence,Allen Ginsberg/Barry Miles,4.22,208,180,9780061137457
The Best of America's Test Kitchen 2007: The Year's Best Recipes  Equipment Reviews  and Tastings,America's Test Kitchen,4.35,312,193,9781933615097
Charlie and the Chocolate Factory (Charlie Bucket  #1),Roald Dahl/Quentin Blake,4.13,176,558799,9780142403884
Charlie and the Chocolate Factory: A Play,Richard R. George/Roald Dahl,4.33,89,2760,9780140311259
Charlie and the Chocolate Factory (Abridged),Roald Dahl,3.86,40,12,9780142404201
Collected Stories,Roald Dahl/Jeremy Treglown,4.39,850,346,9780307264909
Roald Dahl Treasury,Roald Dahl,4.43,448,2143,9780670036653
Dirty Beasts,Roald Dahl/Quentin Blake,4.01,32,4075,9780142302279
Never Let Me Go,Kazuo Ishiguro,3.82,288,380646,9781400078776
Never Let Me Go,Kazuo Ishiguro/Rosalyn Landor,3.82,10,323,9781415916292
Homeric Moments: Clues to Delight in Reading the Odyssey and the Iliad,Eva Brann,4.3,326,118,9780967967578
Paradoxes of Education in a Republic,Eva Brann,4.28,178,29,9780226071367
The Music of the Republic: Essays on Socrates' Conversations and Plato's Writings,Eva Brann,4.58,378,20,9781589880085
Open Secrets / Inward Prospects: Reflections on World and Soul,Eva Brann,4.42,435,10,9781589880191
Phaedo,Plato/Eva Brann/Peter Kalkavage/Eric Salem,4.04,118,94,9780941051699
Rocky Stories: Tales of Love  Hope  and Happiness at America's Most Famous Steps,Michael Vitez/Tom Gralish/Sylvester Stallone,4.16,144,31,9781589880290
My Heart May Be Broken  but My Hair Still Looks Great (Domestic Equalizers #2),Dixie Cash,3.88,336,1226,9780061134234
Since You're Leaving Anyway  Take Out the Trash (Domestic Equalizers #1),Dixie Cash,3.81,384,1614,9780060595364
Blessings from the Other Side: Wisdom and Comfort from the Afterlife for This Life,Sylvia Browne/Lindsay Harrison,3.98,208,37,9780451206701
Mother God: The Feminine Principle to Our Creator,Sylvia Browne,4.05,128,469,9781401903091
Thanksgiving,Janet Evanovich,3.6,228,10637,9780060598808
Plum Lovin' (Stephanie Plum  #12.5),Janet Evanovich,3.72,164,47315,9780312306342
Four to Score (Stephanie Plum  #4),Janet Evanovich,4.17,313,117541,9780312966973
Seven Up (Stephanie Plum  #7),Janet Evanovich,4.16,337,103618,9780312980146
Hard Eight (Stephanie Plum  #8),Janet Evanovich/Lorelei King,4.17,326,101730,9780312983864
Motor Mouth (Alex Barnaby #2),Janet Evanovich,3.68,312,22251,9780060584030
A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments,David Foster Wallace,4.25,353,722,9780316919890
Ivanhoe,Walter Scott/Graham Tulloch,3.75,541,73757,9780140436587
Ivanhoe,Marianna Mayer/Walter Scott/John Rush,3.96,56,178,9781587172489
Me and Jezebel: When Bette Davis Came for Dinner -- And Stayed ... And Stayed ... And Stayed ... And ...,Elizabeth L. Fuller,3.73,244,30,9780425132647
George Washington and Benedict Arnold: A Tale of Two Patriots,Dave R. Palmer,4.27,424,242,9781596980204
His Excellency: George Washington,Joseph J. Ellis,3.92,320,32978,9781400032532
George Washington's Rules of Civility & Decent Behavior in Company and Conversation (Little Books of Wisdom),George Washington,4.08,30,835,9781557091031
George Washington's Sacred Fire,Peter A. Lillback/Jerry Newcombe,4.18,1200,694,9780978605261
Waverley,Walter Scott/Claire Lamont,3.43,463,69,9780192836014
The Antiquary,Walter Scott/Nicola J. Watson,3.83,528,354,9780192831873
Rob Roy,Walter Scott/Lockhart Bogle,3.7,576,26,9780375760600
Prozac Nation,Elizabeth Wurtzel,3.59,384,895,9781573229623
Girl  Interrupted: Screenplay based on the book,James Mangold/Anna Hamilton Phelan/Lisa Loomer/Susanna Kaysen,4.02,167,253,9780571202119
How to Write a Damn Good Novel: A Step-by-Step No Nonsense Guide to Dramatic Storytelling,James N. Frey,3.86,192,2152,9780312010447
Book of the Dead (Kay Scarpetta  #15),Patricia Cornwell,3.65,511,23107,9780399153938
At Risk (Winston Garano  #1),Patricia Cornwell,3.41,212,422,9780399153624
Predator (Kay Scarpetta  #14),Patricia Cornwell,3.68,453,23630,9780425210277
Trace (Kay Scarpetta  #13),Patricia Cornwell,3.78,401,25822,9780425204207
Postmortem (Kay Scarpetta  #1),Patricia Daniels Cornwell/Patricia Cornwell,4.02,342,193117,9780743477154
Three Complete Novels: Postmortem / Body Of Evidence / All That Remains (Kay Scarpetta  #1  #2  #3),Patricia Cornwell,4.29,822,476,9780765191120
From Potter's Field (Kay Scarpetta  #6),Patricia Cornwell,4.04,383,46084,9780425204696
